References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
U1;U2,2,TC4420 footprint PDIP-8,Microchip,TC4420CPA,Microchip,TC4420EPA,,,,,,,,,,,,,,,TC4420EPA-ND,579TC4420EPA,6811124,,9762566
Q1;Q2,4,IRF9Z34NPBF or IRF4905PbF footprint TO-220AB,Infineon,IRF4905PBF,Infineon,IRF9Z34NPBF,,,,,,,,,,,,,,,IRF9Z34NPBF-ND,942IRF9Z34NPBF,5409799,,8648689
Q3;Q4,4,IRFZ24NPBF or IRFZ44NPbF footprint TO-220AB,Infineon,IRFZ44NPbF,Infineon,IRFZ44NPBF,,,,,,,,,,,,,,,IRFZ44NPBF-ND,942IRFZ44NPBF,5409777,,1544411
R3;R4;R5;R6,4,Resistor 47 ohm 250mW through-hole,TE Connectivity,LR1F47R,TE Connectivity,ROX1SJ47R,,,,,,,,,,,,,,,A131472CT-ND,279LR1F47R,148174,,1738569
R1;R2;R7;R8,4,Resistor 1k ohm 250mW through-hole,TE Connectivity,CFR16J1K0,TE Connectivity,ROX2SJ1K0,,,,,,,,,,,,,,,A104669CT-ND,279ROX2SJ1K0,2141951,,1738638
R6;,1,Resistor 4.7k ohm 250mW through-hole,TE Connectivity,CFR25J4K7,TE Connectivity,LR1F4K7,,,,,,,,,,,,,,,A105962CT-ND,279CFR25J4K7,1251136,,2329685
R9;,1,Resistor 220 ohm 250mW through-hole,Yageo,MFR-25FBF52-220R,TE Connectivity,LR1F220R,,,,,,,,,,,,,,,MFR-25FBF52-220R-ND,279LR1F220R,148348,,2330065
R10;,1,Resistor 560 ohm 250mW through-hole,TE Connectivity,CFR25J560R,KOA Speer,CF1/2CT52R561J,,,,,,,,,,,,,,,2019-CF1/2CT52R561JCT-ND,279CFR25J560R,131227,,2329690
C2;C3;C6;C7,4,100nF Capacitor Disc,Multicomp,MCFYU6104Z6,KEMET,C052C104K5R5CA,KEMET,C052K104K5X5CA,KEMET,C052T104K5X5CS,KEMET,C321C104K5R5HA,KEMET,CK05BX104K,Vishay,K104K15X7RF5TH5,Vishay,K104Z15Y5VF5TL2,Multicomp,MC0805B104K500A5.08MM,BC1101CT-ND,594K104K15X7RF5TH5,8523277,73M2154,2395773
C1;C4;C5,3,22uF CP_Radial_D5.0mm_P2.00mm,Panasonic,ECA-1HM220,,,,,,,,,,,,,,,,,P5179-ND,667ECA1HM220,2286880,,9693777
L1; L2;,2,INDUCTOR 33�H Neosid MA-Bs75,Bourns,RLB0914-330KL,Bourns,RLB9012-330KL,,,,,,,,,,,,,,,RLB9012-330KL-ND,652RLB9012330KL,8118853,61J7916,2309242
J1;J5,2,CONN HEADER XH TOP 2POS 2.5MM,JST,B2B-XH-A (LF)(SN),JST,B2B-XH-A(LF)(SN),,,,,,,,,,,,,,,455-2247-ND,,8201554,73M9415,1516276
J2;J3,2,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN),JST,B4B-XH-A(LF)(SN),,,,,,,,,,,,,,,455-2249-ND,,8201551,,1516278
D1;D2,2,3mm LED any colour,Bivar Inc,ELM 5-065,Bivar,ELM 5-065,,,,,,,,,,,,,,,492-2284-ND,749ELM5065,,,
cables,16,"JUMPER SXH-001T-P0.6 X2 10""""",JST,ASXHSXH22K254,,,,,,,,,455-4223-ND,,,,,,,,,,,,
connectors 2pin,4,CONN HOUSING 2.5MM 2POS,JST,XHP-2,,,,,,,,,455-2266-ND,,8201611,,1516264,,,,,,,,
connectors 4pin,6,CONN HOUSING 2.5MM 4POS,JST,XHP-4,,,,,,,,,455-2267-ND,,8201618,,1516266,,,,,,,,
